Created - 13:07:42.227058: Large marble: Zeus, marbles: Rose Quartz, Neon Silver, Brown, Duke Blue, Mode Beige, Almond, Big Dip O’ruby
Created - 13:07:48.110823: Large marble: Lucky, marbles: Spanish Pink, Middle Green Yellow, Rose Dust, Orange Peel, Dark Moss Green, Neon Pink, Auburn
Created - 13:07:48.183338: Large marble: Winner, marbles: La Salle Green, Rose Quartz, Bistre Brown, Dark Moss Green, Neon Pink, Vegas Gold, Cobalt Blue
Created - 13:07:48.255256: Large marble: Winner, marbles: Chinese Red, Mint Cream, Middle Red Purple, Dark Fuchsia, Spanish Orange, Chinese Red, Shandy
Created - 13:07:48.327346: Large marble: Hercules, marbles: Arylide Yellow, Silver Chalice, Brown, Light Orange, Liver Chestnut, Pale Taupe, Eerie Black
Created - 13:07:48.406676: Large marble: 5-Star, marbles: Icterine, Terra Cotta, Thulian Pink, Lilac Luster, Honeydew, White Smoke, Middle Red Purple
Created - 13:07:48.479140: Large marble: Apollo, marbles: Spanish Carmine, Royal Orange, Arylide Yellow, Middle Red Purple, Arylide Yellow, Mimi Pink, Gold
Created - 13:07:48.552086: Large marble: Sure Shot, marbles: Shandy, Sheen Green, Pale Goldenrod, Neon Pink, Slate Blue, Purple Plum, Vegas Gold
Created - 13:07:48.624997: Large marble: The Boss, marbles: Arylide Yellow, Almond, Duke Blue, Maximum Blue, Green, Dark Moss Green, Pale Cerulean
Created - 13:07:48.697909: Large marble: Winner, marbles: Fiery Rose, Purple, Pastel Gray, Maximum Violet, Lilac Luster, Middle Green Yellow, Lemon Lime
Created - 13:07:48.770821: Large marble: Winner, marbles: Safety Yellow, Arylide Yellow, Icterine, Brink Pink, Pastel Gray, Lumber, Spanish Carmine
Created - 13:07:48.843501: Large marble: Winner, marbles: Emerald, Maximum Violet, Big Dip O’ruby, Gold, Mode Beige, Mimi Pink, Honeydew
Created - 13:07:48.916909: Large marble: Apollo, marbles: Lavender Purple, Sage, Liver Chestnut, Liver Chestnut, Tuscan Brown, Black Coral, Black Coral
Created - 13:07:48.987792: Large marble: The Boss, marbles: Brink Pink, Purple Plum, Safety Yellow, Pale Taupe, Purple Plum, Neon Pink, White Smoke
Created - 13:07:49.060921: Large marble: 5-Star, marbles: Pale Taupe, Orange Soda, Auburn, La Salle Green, Orange Peel, Russian Green, Arylide Yellow
Created - 13:07:49.132586: Large marble: Spinner, marbles: Venetian Red, Antique Bronze, Gold, Mulberry, Zomp, Granny Smith Apple, Mode Beige
Created - 13:07:49.205472: Large marble: Sure Shot, marbles: Royal Red, Slate Blue, Royal Red, Pastel Blue, Ruby, Middle Green, Lemon Lime
Created - 13:07:49.277581: Large marble: Apollo, marbles: Russian Violet, Outrageous Orange, Sheen Green, Black Coral, Rose Quartz, Terra Cotta, Pale Taupe
Created - 13:07:49.350045: Large marble: Winner, marbles: Lilac Luster, Antique Bronze, Mode Beige, Neon Silver, Cotton Candy, Pale Goldenrod, La Salle Green
Created - 13:07:49.420914: Large marble: Hercules, marbles: Orange Peel, Sheen Green, Big Dip O’ruby, Mint Cream, Neon Dark Green, Royal Red, Rose Quartz
Created - 13:07:49.493615: Large marble: Spinner, marbles: Dark Moss Green, Antique Brass, Icterine, Emerald, Lemon Lime, Orange Soda, Blue Bell
Created - 13:07:49.566527: Large marble: Lucky, marbles: Stop Red, Candy Pink, Spanish Pink, Pale Taupe, Mode Beige, Arylide Yellow, Auburn
Created - 13:07:49.639438: Large marble: Spinner, marbles: Vegas Gold, Emerald, Blue-Green, Zomp, Arylide Yellow, Lilac Luster, Lilac Luster
Created - 13:07:49.712383: Large marble: Apollo, marbles: Lavender Purple, Blue-Green, Thulian Pink, Eerie Black, Zomp, Chinese Red, Slate Blue
Created - 13:07:49.785300: Large marble: Sure Shot, marbles: Shandy, Blue, Orange Soda, Bistre Brown, Maximum Purple, Pale Goldenrod, Royal Blue
Created - 13:07:49.879007: Large marble: 5-Star, marbles: Purple Plum, Ruby, Maximum Violet, Arylide Yellow, Brown, Emerald, Brink Pink
Created - 13:07:49.951919: Large marble: Winner, marbles: Mulberry, Terra Cotta, Pastel Gray, Venetian Red, Safety Yellow, Brown, Chinese Red
Created - 13:07:50.024150: Large marble: Apollo, marbles: Purple Plum, Bistre Brown, Black Coral, Sheen Green, Lemon Lime, Rose Quartz, Black Coral
Created - 13:07:50.096259: Large marble: Spinner, marbles: Blue-Green, Purple Plum, Thulian Pink, Spanish Orange, La Salle Green, Light Orange, Middle Green Yellow
Created - 13:07:50.168793: Large marble: Spinner, marbles: Lemon Lime, Pale Plum, Mode Beige, Lilac Luster, Bistre Brown, Sage, Royal Orange
Created - 13:07:50.240557: Large marble: Hercules, marbles: Arylide Yellow, Maximum Violet, Cobalt Blue, Shandy, Dark Fuchsia, Almond, Spanish Pink
Created - 13:07:50.312784: Large marble: Spinner, marbles: Thulian Pink, Antique Brass, Neon Dark Green, La Salle Green, Mint Cream, Venetian Red, Safety Yellow
Created - 13:07:50.384125: Large marble: Zeus, marbles: Royal Blue, Spanish Pink, Lavender Purple, Orange Soda, Vegas Gold, Silver Chalice, Purple
Created - 13:07:50.456035: Large marble: Zeus, marbles: Dark Moss Green, Lavender Purple, White Smoke, Ivory, Chinese Red, Shandy, Fiery Rose
Created - 13:07:50.528539: Large marble: Hercules, marbles: Orange Soda, Isabelline, Royal Blue, Almond, Stop Red, Russian Green, Pale Taupe
Created - 13:07:50.601484: Large marble: Hercules, marbles: Middle Green Yellow, La Salle Green, Granny Smith Apple, Russian Violet, Thulian Pink, Orange Soda, Middle Green Yellow
Created - 13:07:50.674396: Large marble: Hercules, marbles: La Salle Green, Arylide Yellow, Sage, Maximum Purple, Lilac Luster, Cotton Candy, Platinum
Created - 13:07:50.747309: Large marble: Hercules, marbles: Neon Dark Green, Russian Violet, Mint Cream, Fiery Rose, Lumber, Mimi Pink, Russian Violet
Created - 13:07:50.820186: Large marble: Zeus, marbles: Vegas Gold, Purple Plum, Antique Brass, Tuscan Brown, Green, Brown, Pale Goldenrod
Created - 13:07:50.893098: Large marble: Sure Shot, marbles: Silver Pink, Honeydew, Royal Orange, Liver Chestnut, Antique Brass, Golden Yellow, Neon Pink
Created - 13:07:50.965718: Large marble: Apollo, marbles: Arylide Yellow, Tuscan Brown, Mode Beige, Arylide Yellow, Arylide Yellow, Middle Red Purple, Venetian Red
Created - 13:07:51.043807: Large marble: Winner, marbles: Purple Plum, Orange Soda, Lilac Luster, Orange Peel, Rose Quartz, Cotton Candy, Fiery Rose
Created - 13:07:51.119813: Large marble: 5-Star, marbles: Vegas Gold, Candy Pink, Russian Green, Arylide Yellow, Orange Peel, Lilac Luster, Dark Fuchsia
Created - 13:07:51.192511: Large marble: 5-Star, marbles: Maximum Blue, Blue, Shandy, Orange Peel, Russian Green, Isabelline, Middle Green Yellow
Created - 13:07:51.264585: Large marble: Hercules, marbles: Beaver, Tuscan Brown, Green, Mode Beige, Spanish Carmine, Granny Smith Apple, Honeydew
Created - 13:07:51.337194: Large marble: Sure Shot, marbles: Safety Yellow, Middle Green Yellow, Maximum Purple, Venetian Red, Tuscan Brown, Purple Plum, Gold
Created - 13:07:51.408358: Large marble: Lucky, marbles: Mimi Pink, Safety Yellow, Golden Yellow, Lilac Luster, Stop Red, Cotton Candy, Vegas Gold
Created - 13:07:51.480350: Large marble: Zeus, marbles: Russian Green, Antique Brass, Ivory, Cotton Candy, Middle Green, Venetian Red, Maximum Blue
Created - 13:07:51.552006: Large marble: Apollo, marbles: Pale Goldenrod, Vegas Gold, Isabelline, Orange Soda, Maximum Purple, Venetian Red, White Smoke
Created - 13:07:51.624552: Large marble: 5-Star, marbles: Pastel Blue, Maximum Purple, Bistre Brown, Bistre Brown, Orange Soda, Brown, Arylide Yellow
Created - 13:07:51.696513: Large marble: Apollo, marbles: Cobalt Blue, Shandy, Mimi Pink, Orange Soda, Lumber, Gold, Lumber
Created - 13:07:51.769218: Large marble: Sure Shot, marbles: Spanish Orange, Antique Brass, Lavender Purple, Silver Pink, Brown, Cobalt Blue, Stop Red
Created - 13:07:51.840077: Large marble: Spinner, marbles: Outrageous Orange, Pale Plum, Outrageous Orange, Golden Yellow, Candy Pink, Pastel Blue, Thulian Pink
Created - 13:07:51.911841: Large marble: Winner, marbles: Maximum Purple, Mango Tango, Vegas Gold, Purple, Rose Quartz, Orange Soda, Green
Created - 13:07:51.983357: Large marble: Spinner, marbles: Green, Antique Brass, Russian Green, Granny Smith Apple, Rose Dust, Maximum Purple, Neon Pink
Created - 13:07:52.056091: Large marble: Zeus, marbles: Green, Light Orange, Russian Violet, Stop Red, Russian Violet, Brink Pink, Mimi Pink
Created - 13:07:52.127105: Large marble: Hercules, marbles: Mimi Pink, Orange Soda, Brown, Orange Soda, Neon Silver, Spanish Orange, Maximum Blue
Created - 13:07:52.200018: Large marble: 5-Star, marbles: Dark Fuchsia, Mode Beige, Blue, Blue-Green, Cobalt Blue, Maximum Purple, Venetian Red
Created - 13:07:52.272308: Large marble: Apollo, marbles: Spanish Carmine, Indigo, Platinum, Neon Silver, Dark Moss Green, La Salle Green, Indigo
Created - 13:07:52.344271: Large marble: 5-Star, marbles: Lavender Blue, Pastel Blue, Pale Goldenrod, Pastel Gray, Maximum Blue, Maximum Violet, Platinum
Created - 13:07:52.416328: Large marble: Sure Shot, marbles: Orange Soda, Sage, Duke Blue, Russian Violet, Auburn, Indigo, Eerie Black
Created - 13:07:52.487689: Large marble: Sure Shot, marbles: Safety Yellow, Neon Pink, Ivory, Cobalt Blue, Indigo, Vegas Gold, Light Orange
